dep	circo	panneau	sexe	nom	prenom	nuance_ministere	nuance_lemonde	bloc_lemonde	parti_lemonde
01	01	1	M	GUILLERMIN	Vincent	ENS	Agir-Ensemble	Ensemble	Agir
01	01	2	M	LAHY	Éric	DXG	LO	Extrême gauche	Lutte ouvrière
01	01	3	M	BRETON	Xavier	LR	LR	LR-UDI	Les Républicains
01	01	4	F	PIROUX GIANNOTTI	Brigitte	RN	RN	Rassemblement national	Rassemblement national
01	01	5	M	MENDES	Michael	DSV	DLF	Extrême droite	Debout la France
01	01	6	M	BELLON	Julien	REC	Rec.	Reconquête	Reconquête !
01	01	7	F	ARMENJON	Eliane	ECO	Anim.	Divers	Parti animaliste
01	01	8	M	GUÉRAUD	Sébastien	NUP	PS-Nupes	Nupes	Parti socialiste
01	02	1	F	LAPRAY	Lumir	NUP	EELV-Nupes	Nupes	Europe Ecologie-Les Verts
01	02	2	M	DAUBIÉ	Romain	ENS	MoDem-Ensemble	Ensemble	Mouvement démocrate
01	02	3	M	GOUTAGNY	Vincent	DXG	LO	Extrême gauche	Lutte ouvrière
01	02	4	M	BARATAY	Denis	DVD	MdR	Divers	Mouvement de la ruralité
01	02	5	M	NANCHI	Alexandre	LR	LR	LR-UDI	Les Républicains
01	02	6	M	COSTA	Alexandre	REC	Rec.	Reconquête	Reconquête !
01	02	7	M	MARTET	Colin	DIV	souv.	Divers	divers souverainistes
01	02	8	M	IGLÉSIS	Thomas	ECO	Anim.	Divers	Parti animaliste
01	02	9	M	EYRAUD	Olivier	RN	RN	Rassemblement national	Rassemblement national
01	02	10	F	CARRIER	Delphine	DSV	Pat.	Extrême droite	Les Patriotes
01	03	1	F	DUBARRY	Karine	REC	Rec.	Reconquête	Reconquête !
01	03	2	M	VERGNAS	Thierry	DSV	DLF	Extrême droite	Debout la France
01	03	3	F	GIVERNET	Olga	ENS	LRM-Ensemble	Ensemble	La République en marche
01	03	4	M	FERTE	Maxence	DIV	div.	Divers	divers inclassable
01	03	5	M	FRANCK	Frédéric	RN	RN	Rassemblement national	Rassemblement national
01	03	6	M	JOLIE	Christian	NUP	LFI-Nupes	Nupes	La France insoumise
01	03	7	F	BAUDE	Véronique	LR	LR	LR-UDI	Les Républicains
01	03	8	M	KASTLER	Jean-Loup	ECO	FGR	Gauche	Fédération de la gauche républicaine
01	03	9	M	KOUASSI	Fulgence	DIV	div.	Divers	divers inclassable
01	03	10	F	MAISONNETTE	Cécile	DXG	LO	Extrême gauche	Lutte ouvrière
01	03	11	F	MORVAN LEMBERT	Marine	ECO	Anim.	Divers	Parti animaliste
01	03	12	M	BISETTI	Frank	DVC	Pirate	Divers	Parti Pirate
01	04	1	M	REIHANIAN	Aurane	LR	LR	LR-UDI	Les Républicains
01	04	2	M	DEFRASNE	Alban	DVG	Pirate	Divers	Parti Pirate
01	04	3	M	FAVRE	Nicolas	ECO	Anim.	Divers	Parti animaliste
01	04	4	M	BUISSON	Jérôme	RN	RN	Rassemblement national	Rassemblement national
01	04	5	M	COUSSON	Sylvain	DXG	LO	Extrême gauche	Lutte ouvrière
01	04	6	M	BENMEDJAHED	Ali	RDG	PRG	Gauche	Parti radical de gauche
01	04	7	M	LERDA	Philippe	NUP	LFI-Nupes	Nupes	La France insoumise
01	04	8	M	DE BOYSSON	Benoît	REC	Rec.	Reconquête	Reconquête !
01	04	9	M	FORCA	Sacha	DVD	MdR	Divers	Mouvement de la ruralité
01	04	10	F	SEGUIN	Isabelle	ENS	LRM-Ensemble	Ensemble	La République en marche
01	04	11	F	VEILLEROT	Annick	DSV	DLF	Extrême droite	Debout la France
01	04	12	M	TROMPILLE	Stéphane	DVC	LRM dis.	Centre	dissident La République en marche
01	05	1	M	TOURNIER-BILLON	Philippe	REC	Rec.	Reconquête	Reconquête !
01	05	2	M	FABRIS	Grégory	DSV	Pat.	Extrême droite	Les Patriotes
01	05	3	M	YILMAZ	Celil	DIV	div.	Divers	divers inclassable
01	05	4	M	ABAD	Damien	DVD	div. d.	Droite	divers droite
01	05	5	F	PISANI	Florence	NUP	LFI-Nupes	Nupes	La France insoumise
01	05	6	F	PARIS	Stéphanie	DVD	MdR	Divers	Mouvement de la ruralité
01	05	7	F	NAMBOTIN	Joëlle	RN	RN	Rassemblement national	Rassemblement national
01	05	8	F	CROZET	Sylvie	DXG	LO	Extrême gauche	Lutte ouvrière
01	05	9	M	BOULMÉ	Jean-Michel	DVG	POID	Extrême gauche	Parti ouvrier indépendant démocratique
01	05	10	M	MARTINEZ	Julien	LR	LR	LR-UDI	Les Républicains
02	01	1	F	BONO-VANDORME	Aude	ENS	LRM-Ensemble	Ensemble	La République en marche
02	01	2	M	CAUCHY	Benjamin	REC	Rec.	Reconquête	Reconquête !
02	01	3	M	PERNELLE	Jean-Loup	DXG	LO	Extrême gauche	Lutte ouvrière
02	01	4	M	FENIOUX	Olivier	NUP	LFI-Nupes	Nupes	La France insoumise
02	01	5	F	RIBEIRO	Carole	DVD	div. d.	Droite	divers droite
02	01	6	M	DEGOUY	Michel	DSV	DLF	Extrême droite	Debout la France
02	01	7	M	DRAGON	Nicolas	RN	RN	Rassemblement national	Rassemblement national
02	01	8	M	MOUGENOT	Paul	LR	LR	LR-UDI	Les Républicains
02	02	1	M	RANSQUIN	Sulyvan	NUP	LFI-Nupes	Nupes	La France insoumise
02	02	2	M	DIVE	Julien	LR	LR	LR-UDI	Les Républicains
02	02	3	F	ZANDITÉNAS	Anne	DXG	LO	Extrême gauche	Lutte ouvrière
02	02	4	F	PUISSANT	Lola	RN	RN	Rassemblement national	Rassemblement national
02	02	5	F	EL OUASDI	Fatima	ENS	Hor.-Ensemble	Ensemble	Horizons
02	02	6	M	LEPEUPLE	Eric	DIV	div. g.	Gauche	Divers gauche
02	02	7	F	BÉCOURT	Corinne	DVG	PCF dis.	Gauche	dissident PCF hors accord Nupes
02	02	8	F	AMEWOUI	Cécé	REC	Rec.	Reconquête	Reconquête !
02	03	1	F	VOISIN	Laetitia	DXG	LO	Extrême gauche	Lutte ouvrière
02	03	2	M	BERNARDEAU	Hervé	REC	Rec.	Reconquête	Reconquête !
02	03	3	M	HANSEN-CATTA	Paul-Henry	RN	RN	Rassemblement national	Rassemblement national
02	03	4	M	MOINEUSE	Jérome	LR	LR	LR-UDI	Les Républicains
02	03	5	F	CHOTIN	Agnès	DSV	Pat.	Extrême droite	Les Patriotes
02	03	6	M	BRICOUT	Jean-Louis	NUP	PS-Nupes	Nupes	Parti socialiste
02	04	1	M	BEAURAIN	José	RN	RN	Rassemblement national	Rassemblement national
02	04	2	M	GALL	Aurélien	NUP	PCF-Nupes	Nupes	Parti communiste français
02	04	3	M	BOBIN	David	LR	LR	LR-UDI	Les Républicains
02	04	4	F	VICENTE	Vanessa	REC	Rec.	Reconquête	Reconquête !
02	04	5	F	BOUILLAGUET	Flora	DXG	LO	Extrême gauche	Lutte ouvrière
02	04	6	M	DELATTE	Marc	ENS	LRM-Ensemble	Ensemble	La République en marche
02	04	7	M	CRÉON	Damien	DSV	DLF	Extrême droite	Debout la France
02	05	1	M	GARCIA	Francis	DXG	LO	Extrême gauche	Lutte ouvrière
02	05	2	M	EUGÈNE	Sébastien	DVC	div. c.	Centre	divers centre
02	05	3	F	ROUSSEL	Jeanne	ENS	LRM-Ensemble	Ensemble	La République en marche
02	05	4	M	DESSIGNY	Jocelyn	RN	RN	Rassemblement national	Rassemblement national
02	05	5	F	TRIBOULET	Florence	REC	Rec.	Reconquête	Reconquête !
02	05	6	F	VACCA	Françoise	ECO	Anim.	Divers	Parti animaliste
02	05	7	M	FRERE	Stéphane	NUP	LFI-Nupes	Nupes	La France insoumise
02	05	8	M	BOLLÉE	Joffrey	DSV	Pat.	Extrême droite	Les Patriotes
02	05	9	F	GILQUIN	Jade	LR	LR	LR-UDI	Les Républicains
03	01	1	F	SENNEPIN	Marion	ECO	Anim.	Divers	Parti animaliste
03	01	2	F	CIBERT	Marie	RN	RN	Rassemblement national	Rassemblement national
03	01	3	M	BARBARIN	Michel	ENS	LRM-Ensemble	Ensemble	La République en marche
03	01	4	M	MALLOT	Jean	DVG	PS dis.	Gauche	dissident PS hors accord Nupes
03	01	5	M	COLLOT	Jean-Marc	DXG	LO	Extrême gauche	Lutte ouvrière
03	01	6	M	DE NICOLAY	Pierre	REC	Rec.	Reconquête	Reconquête !
03	01	7	M	MALAVAUD	Fabien	DVD	MdR	Divers	Mouvement de la ruralité
03	01	8	M	LITAUDON	Roger	LR	LR	LR-UDI	Les Républicains
03	01	9	M	MONNET	Yannick	NUP	PCF-Nupes	Nupes	Parti communiste français
03	02	1	M	TRIKI	Samir	DVC	Hor. Dis.	Centre	dissident Horizons
03	02	2	M	KEGELART	Jean-Jacques	LR	LR	LR-UDI	Les Républicains
03	02	3	M	AFFRAIX	Christophe	DSV	souv.	Divers	divers souverainistes
03	02	4	F	DE NICOLAY	Axelle	REC	Rec.	Reconquête	Reconquête !
03	02	5	M	GUILLAUMIN	Jean-Marie	ECO	écol.	Divers	divers écologistes
03	02	6	M	LEBEL	Bernard	DXG	LO	Extrême gauche	Lutte ouvrière
03	02	7	M	CHATEL	Philippe	REG	div.	Divers	divers inclassable
03	02	8	F	LÉGUILLON	Marie-Claude	RDG	PRG	Gauche	Parti radical de gauche
03	02	9	M	BOVET	Jorys	RN	RN	Rassemblement national	Rassemblement national
03	02	10	M	THOMAS	Luc	REG	Pirate	Divers	Parti Pirate
03	02	11	F	VANCEUNEBROCK	Laurence	ENS	LRM-Ensemble	Ensemble	La République en marche
03	02	12	M	POZZOLI	Bernard	DVG	PS dis.	Gauche	dissident PS hors accord Nupes
03	02	13	F	HERITIER	Louise	NUP	LFI-Nupes	Nupes	La France insoumise
03	03	1	M	RAMEAU	Jean-Francois	DXG	LO	Extrême gauche	Lutte ouvrière
03	03	2	M	DUCHÉ	Paul	ECO	Anim.	Divers	Parti animaliste
03	03	3	M	RAY	Nicolas	LR	LR	LR-UDI	Les Républicains
03	03	4	M	PENDELIAU	Yves-Marie	DIV	div.	Divers	divers inclassable
03	03	5	F	RÉCHARD	Isabelle	RDG	PRG	Gauche	Parti radical de gauche
03	03	6	F	PEYROL	Bénédicte	ENS	LRM-Ensemble	Ensemble	La République en marche
03	03	7	F	DENFERD	Elsa	NUP	PS-Nupes	Nupes	Parti socialiste
03	03	8	M	JULIEN	Quentin	RN	RN	Rassemblement national	Rassemblement national
03	03	9	F	LACOUR	Sophie	REC	Rec.	Reconquête	Reconquête !
03	03	10	F	CORBIN	Lydie	DSV	Pat.	Extrême droite	Les Patriotes
