id	dep	circo	inscrits	abstentions	votants	blancs	nuls	exprimes	p1_panneau	p1_sexe	p1_nom	p1_prenom	p1_nuance	p1_voix	p2_panneau	p2_sexe	p2_nom	p2_prenom	p2_nuance	p2_voix	p3_panneau	p3_sexe	p3_nom	p3_prenom	p3_nuance	p3_voix	p4_panneau	p4_sexe	p4_nom	p4_prenom	p4_nuance	p4_voix	p5_panneau	p5_sexe	p5_nom	p5_prenom	p5_nuance	p5_voix	p6_panneau	p6_sexe	p6_nom	p6_prenom	p6_nuance	p6_voix	p7_panneau	p7_sexe	p7_nom	p7_prenom	p7_nuance	p7_voix	p8_panneau	p8_sexe	p8_nom	p8_prenom	p8_nuance	p8_voix	p9_panneau	p9_sexe	p9_nom	p9_prenom	p9_nuance	p9_voix	p10_panneau	p10_sexe	p10_nom	p10_prenom	p10_nuance	p10_voix	p11_panneau	p11_sexe	p11_nom	p11_prenom	p11_nuance	p11_voix	p12_panneau	p12_sexe	p12_nom	p12_prenom	p12_nuance	p12_voix	p13_panneau	p13_sexe	p13_nom	p13_prenom	p13_nuance	p13_voix	p14_panneau	p14_sexe	p14_nom	p14_prenom	p14_nuance	p14_voix	p15_panneau	p15_sexe	p15_nom	p15_prenom	p15_nuance	p15_voix	p16_panneau	p16_sexe	p16_nom	p16_prenom	p16_nuance	p16_voix	p17_panneau	p17_sexe	p17_nom	p17_prenom	p17_nuance	p17_voix	p18_panneau	p18_sexe	p18_nom	p18_prenom	p18_nuance	p18_voix	p19_panneau	p19_sexe	p19_nom	p19_prenom	p19_nuance	p19_voix	p20_panneau	p20_sexe	p20_nom	p20_prenom	p20_nuance	p20_voix	p21_panneau	p21_sexe	p21_nom	p21_prenom	p21_nuance	p21_voix	p22_panneau	p22_sexe	p22_nom	p22_prenom	p22_nuance	p22_voix
01_01	01	01	86187	43652	42535	490	234	41811	2	M	LAHY	Éric	DXG	391	8	M	GUÉRAUD	Sébastien	NUP	9982	7	F	ARMENJON	Eliane	ECO	1161	1	M	GUILLERMIN	Vincent	ENS	8071	3	M	BRETON	Xavier	LR	10599	5	M	MENDES	Michael	DSV	641	6	M	BELLON	Julien	REC	1995	4	F	PIROUX GIANNOTTI	Brigitte	RN	8971																																																																																				
01_02	01	02	99953	50270	49683	629	168	48886	3	M	GOUTAGNY	Vincent	DXG	415	1	F	LAPRAY	Lumir	NUP	12428	8	M	IGLÉSIS	Thomas	ECO	653	7	M	MARTET	Colin	DIV	265	2	M	DAUBIÉ	Romain	ENS	12916	5	M	NANCHI	Alexandre	LR	7192	4	M	BARATAY	Denis	DVD	618	10	F	CARRIER	Delphine	DSV	653	6	M	COSTA	Alexandre	REC	2392	9	M	EYRAUD	Olivier	RN	11354																																																																								
01_03	01	03	82204	45946	36258	385	144	35729	10	F	MAISONNETTE	Cécile	DXG	281	6	M	JOLIE	Christian	NUP	7990	8	M	KASTLER	Jean-Loup	ECO	1763	11	F	MORVAN LEMBERT	Marine	ECO	528	4	M	FERTE	Maxence	DIV	0	9	M	KOUASSI	Fulgence	DIV	596	3	F	GIVERNET	Olga	ENS	10704	12	M	BISETTI	Frank	DVC	71	7	F	BAUDE	Véronique	LR	6425	2	M	VERGNAS	Thierry	DSV	543	1	F	DUBARRY	Karine	REC	1835	5	M	FRANCK	Frédéric	RN	4993																																																												
01_04	01	04	94897	49258	45639	640	207	44792	5	M	COUSSON	Sylvain	DXG	308	6	M	BENMEDJAHED	Ali	RDG	2215	7	M	LERDA	Philippe	NUP	7786	2	M	DEFRASNE	Alban	DVG	11	3	M	FAVRE	Nicolas	ECO	1119	10	F	SEGUIN	Isabelle	ENS	7317	12	M	TROMPILLE	Stéphane	DVC	4211	1	M	REIHANIAN	Aurane	LR	7198	9	M	FORCA	Sacha	DVD	443	11	F	VEILLEROT	Annick	DSV	562	8	M	DE BOYSSON	Benoît	REC	2506	4	M	BUISSON	Jérôme	RN	11116																																																												
01_05	01	05	77456	40382	37074	820	206	36048	8	F	CROZET	Sylvie	DXG	414	5	F	PISANI	Florence	NUP	8485	9	M	BOULMÉ	Jean-Michel	DVG	281	3	M	YILMAZ	Celil	DIV	704	10	M	MARTINEZ	Julien	LR	3580	4	M	ABAD	Damien	DVD	12034	6	F	PARIS	Stéphanie	DVD	931	2	M	FABRIS	Grégory	DSV	436	1	M	TOURNIER-BILLON	Philippe	REC	2073	7	F	NAMBOTIN	Joëlle	RN	7110																																																																								
02_01	02	01	72479	37772	34707	546	227	33934	3	M	PERNELLE	Jean-Loup	DXG	500	4	M	FENIOUX	Olivier	NUP	6463	1	F	BONO-VANDORME	Aude	ENS	7939	8	M	MOUGENOT	Paul	LR	3853	5	F	RIBEIRO	Carole	DVD	2052	6	M	DEGOUY	Michel	DSV	570	2	M	CAUCHY	Benjamin	REC	1312	7	M	DRAGON	Nicolas	RN	11245																																																																																				
02_02	02	02	73176	39923	33253	473	187	32593	3	F	ZANDITÉNAS	Anne	DXG	315	1	M	RANSQUIN	Sulyvan	NUP	5757	7	F	BÉCOURT	Corinne	DVG	505	6	M	LEPEUPLE	Eric	DIV	288	5	F	EL OUASDI	Fatima	ENS	3755	2	M	DIVE	Julien	LR	11704	8	F	AMEWOUI	Cécé	REC	938	4	F	PUISSANT	Lola	RN	9331																																																																																				
02_03	02	03	66709	36374	30335	626	248	29461	1	F	VOISIN	Laetitia	DXG	762	6	M	BRICOUT	Jean-Louis	NUP	13518	4	M	MOINEUSE	Jérome	LR	3584	5	F	CHOTIN	Agnès	DSV	462	2	M	BERNARDEAU	Hervé	REC	1617	3	M	HANSEN-CATTA	Paul-Henry	RN	9518																																																																																																
02_04	02	04	78792	44526	34266	548	201	33517	5	F	BOUILLAGUET	Flora	DXG	652	2	M	GALL	Aurélien	NUP	7461	6	M	DELATTE	Marc	ENS	7632	3	M	BOBIN	David	LR	4300	7	M	CRÉON	Damien	DSV	689	4	F	VICENTE	Vanessa	REC	810	1	M	BEAURAIN	José	RN	11973																																																																																										
02_05	02	05	83141	43824	39317	588	191	38538	1	M	GARCIA	Francis	DXG	515	7	M	FRERE	Stéphane	NUP	7265	6	F	VACCA	Françoise	ECO	892	3	F	ROUSSEL	Jeanne	ENS	6214	2	M	EUGÈNE	Sébastien	DVC	6093	9	F	GILQUIN	Jade	LR	1873	8	M	BOLLÉE	Joffrey	DSV	714	5	F	TRIBOULET	Florence	REC	1400	4	M	DESSIGNY	Jocelyn	RN	13572																																																																														
